GAME_ID,GAME_DATE,MATCHUP,TEAM_ID,TEAM_ABBREVIATION,WL,SEASON
0040900121,2010-04-17,MIL @ ATL,1610612749,MIL,L,2009-10
0040900171,2010-04-17,DEN vs. UTA,1610612743,DEN,W,2009-10
0040900101,2010-04-17,CHI @ CLE,1610612741,CHI,L,2009-10
0040900171,2010-04-17,UTA @ DEN,1610612762,UTA,L,2009-10
0040900121,2010-04-17,ATL vs. MIL,1610612737,ATL,W,2009-10
0040900131,2010-04-17,BOS vs. MIA,1610612738,BOS,W,2009-10
0040900131,2010-04-17,MIA @ BOS,1610612748,MIA,L,2009-10
0040900101,2010-04-17,CLE vs. CHI,1610612739,CLE,W,2009-10
0040900111,2010-04-18,ORL vs. CHA,1610612753,ORL,W,2009-10
0040900161,2010-04-18,POR @ PHX,1610612757,POR,W,2009-10
0040900151,2010-04-18,DAL vs. SAS,1610612742,DAL,W,2009-10
0040900151,2010-04-18,SAS @ DAL,1610612759,SAS,L,2009-10
0040900141,2010-04-18,LAL vs. OKC,1610612747,LAL,W,2009-10
0040900141,2010-04-18,OKC @ LAL,1610612760,OKC,L,2009-10
0040900111,2010-04-18,CHA @ ORL,1610612766,CHA,L,2009-10
0040900161,2010-04-18,PHX vs. POR,1610612756,PHX,L,2009-10
0040900172,2010-04-19,DEN vs. UTA,1610612743,DEN,L,2009-10
0040900172,2010-04-19,UTA @ DEN,1610612762,UTA,W,2009-10
0040900102,2010-04-19,CHI @ CLE,1610612741,CHI,L,2009-10
0040900102,2010-04-19,CLE vs. CHI,1610612739,CLE,W,2009-10
0040900132,2010-04-20,BOS vs. MIA,1610612738,BOS,W,2009-10
0040900132,2010-04-20,MIA @ BOS,1610612748,MIA,L,2009-10
0040900122,2010-04-20,ATL vs. MIL,1610612737,ATL,W,2009-10
0040900162,2010-04-20,PHX vs. POR,1610612756,PHX,W,2009-10
0040900142,2010-04-20,OKC @ LAL,1610612760,OKC,L,2009-10
0040900122,2010-04-20,MIL @ ATL,1610612749,MIL,L,2009-10
0040900162,2010-04-20,POR @ PHX,1610612757,POR,L,2009-10
0040900142,2010-04-20,LAL vs. OKC,1610612747,LAL,W,2009-10
0040900152,2010-04-21,SAS @ DAL,1610612759,SAS,W,2009-10
0040900152,2010-04-21,DAL vs. SAS,1610612742,DAL,L,2009-10
0040900112,2010-04-21,CHA @ ORL,1610612766,CHA,L,2009-10
0040900112,2010-04-21,ORL vs. CHA,1610612753,ORL,W,2009-10
0040900143,2010-04-22,LAL @ OKC,1610612747,LAL,L,2009-10
0040900163,2010-04-22,POR vs. PHX,1610612757,POR,L,2009-10
